Trial,Path Length (m),Minimum Distance (m),Collision Count,Safety Rate (%),Goal Distance (m),Goal Reached
1,25.4,1.8,1,90.0,0.05,true
2,25.4,1.8,1,90.0,0.05,true
3,25.4,1.8,1,90.0,0.05,true
4,25.4,1.8,1,90.0,0.05,true
5,25.4,1.8,1,90.0,0.05,true
